id,task,audio_dependency,duration,n_gt,n_emits,tp_time,tp_content,fp,fn,time_f1,joint_f1,verdict
instant_event_alert::DrchbuazH2g::89,instant_event_alert,required,298.84,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::8adnFn-g8jA::90,instant_event_alert,required,50.586207,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::RuQo8nVwjrs::91,instant_event_alert,required,170.044875,2,1,1,1,0,1,0.667,0.667,GOOD
instant_event_alert::B9t_NybAytA::92,instant_event_alert,helpful,525.433333,2,2,0,0,2,2,0.0,0.0,WRONG_TIME
instant_event_alert::Vf9WPTg0h5g::93,instant_event_alert,required,56.489767,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::SPRdPbLHMfg::94,instant_event_alert,required,59.92,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::RWpTUgVDOB0::95,instant_event_alert,required,125.208333,2,2,2,2,0,0,1.0,1.0,GOOD
instant_event_alert::1Qx9GypQlb0::96,instant_event_alert,helpful,554.4,2,14,2,2,12,0,0.25,0.25,GOOD
instant_event_alert::POpOJQ4oUYk::97,instant_event_alert,required,360.96,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::UyA-XahbX9o::98,instant_event_alert,required,187.9878,2,1,0,0,1,2,0.0,0.0,WRONG_TIME
instant_event_alert::5YRfsnXhq14::99,instant_event_alert,required,85.552133,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::LlAKcJ-DE88::100,instant_event_alert,required,86.4864,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::DMhR1dDjBpc::101,instant_event_alert,required,88.355022,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::Wpz7F-Hk6jU::102,instant_event_alert,required,293.660033,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::V-fmHKojl0w::103,instant_event_alert,required,70.9,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::JTiO20XOnFg::104,instant_event_alert,required,60.06,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::-__OUrHGeuU::105,instant_event_alert,none,353.4,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::BcFpM4upfxo::106,instant_event_alert,required,76.066667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::XFn81D-EiNE::107,instant_event_alert,required,129.295963,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::SNrSuTIzUzk::108,instant_event_alert,required,305.6053,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::L76mz5AOOIE::109,instant_event_alert,required,465.3649,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::VehgNhMV1kI::110,instant_event_alert,required,81.791667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::SIoTGvhVXf4::111,instant_event_alert,required,400.9005,3,4,3,3,1,0,0.857,0.857,GOOD
instant_event_alert::CL4qjTsj0i8::112,instant_event_alert,required,292.791667,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::1cjHAtxmUHA::113,instant_event_alert,required,111.733333,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::992LjxXKfPk::114,instant_event_alert,required,539.766667,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::WMAK4edTUmw::115,instant_event_alert,required,225.191633,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::CvyTFwzPUOo::116,instant_event_alert,required,168.466667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::GbU_T2XiFgA::117,instant_event_alert,required,178.311467,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::BXpBmHYR8IE::118,instant_event_alert,required,220.286733,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::1sM9Qs-0Vdk::119,instant_event_alert,required,217.46725,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::8aysghEkxMs::120,instant_event_alert,required,159.6595,3,0,0,0,0,3,0.0,0.0,SILENT
instant_event_alert::MJiQqWDr_lc::121,instant_event_alert,required,248.133333,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::TXeVf42sQdM::122,instant_event_alert,none,119.853067,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::T8Cun7PLdN8::123,instant_event_alert,required,89.24,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
